rf IDEAS - Credential Read Height Test,,,,,,,,,,,,,,,,,,,,,
Reader Type,HIP2_SP,Reader Model,RDR-800x1BxU-NT,,,,,,,,,,,,,,,,,,
Firmware,WNC00UNT700-v03.01.18,,,,,,,,,,,,,,,,,,,,
Test speed,Slow,Final tap,0.5mm @ 10 mm/s,,,,,,,,,,,,,,,,,,
Read angles,"0 deg, 90 deg",,,,,,,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,,,,,,
Generated,Jul-29-2026 15:27:37,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Run,Card #,Card Title,Card Code,0 deg Avg (mm),90 deg Avg (mm),180 deg Avg (mm),270 deg Avg (mm),0 deg Min,0 deg Max,90 deg Min,90 deg Max,180 deg Min,180 deg Max,270 deg Min,270 deg Max,0 deg Scans,90 deg Scans,180 deg Scans,270 deg Scans,Card Max (mm),Error / Skip
1,24,HID iCLASS - Prox,A028,64.32,64.32,,,64.32,64.32,64.32,64.32,,,,,1,1,,,64.32,
1,25,ISO14443A LEGIC,B027,39.32,37.32,,,39.32,39.32,37.32,37.32,,,,,1,1,,,39.32,
1,25,ISO14443A LEGIC,A027,39.32,36.82,,,39.32,39.32,36.82,36.82,,,,,1,1,,,39.32,
1,26,Felica STD-DES,B026,53.82,52.32,,,53.82,53.82,52.32,52.32,,,,,1,1,,,53.82,
1,26,Felica STD-DES,A026,53.82,52.32,,,53.82,53.82,52.32,52.32,,,,,1,1,,,53.82,
1,27,ISO14443A,B025,28.32,28.32,,,28.32,28.32,28.32,28.32,,,,,1,1,,,28.32,
1,27,ISO14443A,A025,29.32,28.82,,,29.32,29.32,28.82,28.82,,,,,1,1,,,29.32,
1,28,FeliCa (NFC 3) UID,B018,34.82,31.82,,,34.82,34.82,31.82,31.82,,,,,1,1,,,34.82,
1,28,FeliCa (NFC 3) UID,A018,34.32,31.82,,,34.32,34.32,31.82,31.82,,,,,1,1,,,34.32,
1,29,CASI-RUSCO UID,B001,55.32,54.82,,,55.32,55.32,54.82,54.82,,,,,1,1,,,55.32,
1,29,CASI-RUSCO UID,A001,55.32,55.32,,,55.32,55.32,55.32,55.32,,,,,1,1,,,55.32,
1,30,Indala Custom,B004,67.82,67.32,,,67.82,67.82,67.32,67.32,,,,,1,1,,,67.82,
1,30,Indala Custom,A004,67.82,67.32,,,67.82,67.82,67.32,67.32,,,,,1,1,,,67.82,
1,31,Isonas UID,B012,70.82,67.32,,,70.82,70.82,67.32,67.32,,,,,1,1,,,70.82,
1,31,Isonas UID,A012,74.82,72.32,,,74.82,74.82,72.32,72.32,,,,,1,1,,,74.82,
1,32,Indala ASP UID,B014,68.82,66.82,,,68.82,68.82,66.82,66.82,,,,,1,1,,,68.82,
1,32,Indala ASP UID,A014,66.82,67.82,,,66.82,66.82,67.82,67.82,,,,,1,1,,,67.82,
1,33,EM 4200,B016,52.82,51.32,,,52.82,52.82,51.32,51.32,,,,,1,1,,,52.82,
